component,gene_index,loading,abs_loading,novelty_weight,gene
4,88,0.0730022723061243,0.0730022723061243,0.5287643821910956,ARHGDIA
4,192,0.06992600969449234,0.06992600969449234,0.9879939969984992,C1QA
4,1139,0.06735084306923374,0.06735084306923374,0.5087543771885943,NME3
4,1787,0.06704497068512273,0.06704497068512273,0.6273136568284142,TMEM205
4,1379,0.06532833112947412,0.06532833112947412,0.16908454227113556,PTMS
4,572,0.06342869641524505,0.06342869641524505,0.1450725362681341,ENO1
4,874,0.0629161520216583,0.0629161520216583,0.17408704352176085,ISG15
4,1523,-0.060397245599925445,0.060397245599925445,0.30265132566283137,SDC1
4,1739,0.05753716295986681,0.05753716295986681,0.3531765882941471,THBS1
4,1715,0.05613738666396159,0.05613738666396159,0.5192596298149075,TAPBP
4,1507,0.055201151282938524,0.055201151282938524,0.13156578289144572,S100A9
4,695,0.055155784488671734,0.055155784488671734,0.5422711355677838,GPAA1
4,143,0.054336928419908094,0.054336928419908094,0.7413706853426714,B4GALT1
4,953,-0.05407345710304515,0.05407345710304515,0.5977988994497249,LRRC59
4,1609,-0.05391413332208864,0.05391413332208864,0.2251125562781391,SNRPE
4,19,0.05204245526592597,0.05204245526592597,0.7648824412206103,ADAR
4,1674,0.05144198217951332,0.05144198217951332,0.26413206603301653,STARD3
4,194,-0.05074311649146415,0.05074311649146415,0.9704852426213106,C1QC
4,131,0.05052624076111573,0.05052624076111573,0.6898449224612306,ATP6V0D1
4,130,0.050424724628774134,0.050424724628774134,0.2206103051525763,ATP6V0B
4,1779,0.04998155463039118,0.04998155463039118,0.5027513756878439,TMEM160
4,1221,0.04952638764485203,0.04952638764485203,0.6648324162081041,PDIA4
5,848,-0.6933246324343497,0.6933246324343497,0.9684842421210605,IGHM
5,843,0.2187696005528869,0.2187696005528869,0.9589794897448725,IGHA1
5,846,0.1810585711890476,0.1810585711890476,0.8754377188594297,IGHG3
5,1637,-0.1527108928656454,0.1527108928656454,0.45672836418209106,SPP1
5,844,0.13381143731701,0.13381143731701,0.4827413706853426,IGHG1
5,1574,-0.1265396941382998,0.1265396941382998,0.9299649824912456,SLC16A3
5,845,0.12634699356425683,0.12634699356425683,0.9484742371185593,IGHG2
5,849,0.107214319143489,0.107214319143489,0.8014007003501751,IGKC
5,698,-0.10549978640426565,0.10549978640426565,0.6583291645822911,GPI
5,413,-0.10541433800865012,0.10541433800865012,0.31465732866433216,CTSD
5,907,0.086122620546815,0.086122620546815,0.8669334667333667,KPNA2
5,203,0.08543967763506208,0.08543967763506208,0.8089044522261131,C6orf62
5,1241,-0.08080831654047717,0.08080831654047717,0.24312156078039016,PGK1
5,1676,0.07742412509585465,0.07742412509585465,0.832416208104052,STARD7
5,594,0.07110185998259733,0.07110185998259733,0.7813906953476738,EVL
5,19,0.0679624981222833,0.0679624981222833,0.7648824412206103,ADAR
5,1021,0.06269264545815188,0.06269264545815188,0.856928464232116,MGAT4A
5,927,0.061136927480309175,0.061136927480309175,0.8989494747373686,LAPTM5
5,175,-0.06066212035805511,0.06066212035805511,0.23611805902951477,BSG
5,1139,0.058988488780996114,0.058988488780996114,0.5087543771885943,NME3
5,694,0.05597912380719721,0.05597912380719721,0.5942971485742872,GOLPH3
5,193,0.0538829513567405,0.0538829513567405,0.9824912456228114,C1QB
5,1230,-0.050125551823931115,0.050125551823931115,0.09654827413706857,PECAM1
5,718,0.049256710055026146,0.049256710055026146,0.6283141570785393,GTF3C6
5,829,-0.04868034671047085,0.04868034671047085,0.2026013006503251,IFI6
5,378,0.04708060690637446,0.04708060690637446,0.3751875937968985,COX17
5,1364,0.045713438539441015,0.045713438539441015,0.8244122061030515,PSMD13
5,26,0.04509916896950753,0.04509916896950753,0.7738869434717359,ADSS
5,847,0.04493327886699114,0.04493327886699114,0.9389694847423712,IGHG4
5,1308,-0.04400883226239527,0.04400883226239527,0.45622811405702857,PPP1CC
5,1926,0.04360759547076214,0.04360759547076214,0.6313156578289145,VDAC3
5,401,0.04271059852689922,0.04271059852689922,0.9289644822411206,CSK
5,1895,0.04266383744335714,0.04266383744335714,0.8384192096048024,UBQLN1
5,544,0.04249433073598271,0.04249433073598271,0.6903451725862931,EIF4A1
5,1653,-0.04139231981891964,0.04139231981891964,0.47523761880940474,SRRM2
5,1345,0.041295932350345586,0.041295932350345586,0.8414207103551776,PSMA1
5,68,0.041163578249146106,0.041163578249146106,0.8829414707353677,APMAP
5,1317,0.04115300819063087,0.04115300819063087,0.9229614807403702,PPP2R5C
5,1072,0.040974524194658336,0.040974524194658336,0.9544772386193097,MZB1
5,969,-0.0409654606270511,0.0409654606270511,0.45972986493246626,LUC7L3
5,1961,-0.04006214792910716,0.04006214792910716,0.4982491245622811,YPEL5
5,1625,-0.0394313111283852,0.0394313111283852,0.25112556278139064,SOX4
5,951,0.03926325513881664,0.03926325513881664,0.6003001500750376,LRP10
5,465,0.039197341351305814,0.039197341351305814,0.8479239619809905,DDX6
5,572,-0.03845077112385029,0.03845077112385029,0.1450725362681341,ENO1
5,1867,0.03833086977093601,0.03833086977093601,0.32416208104052024,TXNDC17
5,1739,-0.038279813599531524,0.038279813599531524,0.3531765882941471,THBS1
5,520,0.038213828407343546,0.038213828407343546,0.903951975987994,EFHD2
5,1281,0.0377642440388771,0.0377642440388771,0.5807903951975988,PNN
5,1817,0.03754491954553139,0.03754491954553139,0.39319659829914955,TOB1
6,843,-0.6152628832058437,0.6152628832058437,0.9589794897448725,IGHA1
6,846,0.3915851084344676,0.3915851084344676,0.8754377188594297,IGHG3
6,844,0.24243315337141458,0.24243315337141458,0.4827413706853426,IGHG1
6,1021,0.18528106119432716,0.18528106119432716,0.856928464232116,MGAT4A
6,889,-0.17650877845746182,0.17650877845746182,0.943471735867934,JCHAIN
6,848,-0.09506654305742827,0.09506654305742827,0.9684842421210605,IGHM
6,1167,0.0892403409400293,0.0892403409400293,0.735367683841921,NUFIP2
6,192,0.08815642815859412,0.08815642815859412,0.9879939969984992,C1QA
6,520,0.08605526683542342,0.08605526683542342,0.903951975987994,EFHD2
6,1192,-0.07965704904576791,0.07965704904576791,0.8284142071035517,PABPC4
