gene,hvg_score,svg_score,hvg_norm,svg_norm,final_weight,is_sc_hvg,selected_in_plugin
DPYSL2,0.14947217217451025,0.25115977788557975,0.8085928071445813,0.9677769732078204,0.8881848901762008,False,0
TRIM35,0.026342709238566193,0.011748571089211636,0.4411054791214096,0.4489500362056481,0.44502775766352887,False,0
PTK2B,0.14649325742924044,0.07285034387660357,0.8051532705768767,0.8170407916968381,0.8110970311368574,False,0
EPHX2,0.037691965111084594,0.004774639345678274,0.503258508327299,0.3865556360125513,0.44490707216992514,False,0
CLU,0.2192690216715236,0.4181713885851351,0.8792541636495294,0.9903451605117065,0.9347996620806179,True,1
SCARA3,0.011636027975245856,0.06365677034035282,0.3413589186579773,0.7886193579531741,0.5649891383055756,False,0
ESCO2,0.006636952845281801,0.0,0.2897658701424089,0.2035662563359884,0.24666606323919865,False,0
PBK,0.009860758754296185,0.0,0.32548877624909484,0.2035662563359884,0.2645275162925416,False,0
SCARA5,0.008533847548778815,0.0,0.31215302920588944,0.2035662563359884,0.2578596427709389,True,0
NUGGC,0.011204288722780049,0.0,0.3377383538498672,0.2035662563359884,0.2706523050929278,False,0
ELP3,0.04520921065568607,0.0041955955016938756,0.5355418778662805,0.38160753077480086,0.4585747043205407,False,0
PNOC,0.03710818921695725,0.0,0.5003017137340092,0.2035662563359884,0.35193398503499884,False,0
FBXO16,0.005950071141178822,0.013331272236961605,0.28107651460294475,0.46331160994448467,0.3721940622737147,False,0
FZD3,0.022383437341158174,0.016414897795519842,0.4163649529326575,0.4931812696113927,0.45477311127202513,False,0
EXTL3,0.025809946378875025,0.028975460212701077,0.4373642288196959,0.6066859763456433,0.5220251025826695,False,0
INTS9,0.02713058304697447,0.018226889379087768,0.4449070721699252,0.5098962104755008,0.477401641322713,False,0
HMBOX1,0.07187554882628128,0.03425831025585898,0.6349867245957036,0.6456673907796283,0.640327057687666,False,0
KIF13B,0.06961206721303834,0.025135270594262335,0.6281679942070963,0.5749456915278783,0.6015568428674873,False,0
DUSP4,0.6845715228691113,0.07872571410932025,0.9900434467776973,0.8327902486121168,0.911416847694907,True,1
LEPROTL1,0.4918562430585583,0.08173450659150734,0.9723630219647599,0.840031378228337,0.9061972000965484,False,1
DCTN6,0.18574752717723897,0.02344469597442743,0.8486603910209993,0.5592565773594014,0.7039584841902004,False,0
