rank,gene,stat,hit,running_es,CellType
8385,ERC2,0.0012617306783795357,False,0.38625860130519707,CD4 T cells
8386,DOC2A,0.0012591934064403176,False,0.3861881589270624,CD4 T cells
8387,RAB2B,0.0012557506561279297,False,0.3861177165489277,CD4 T cells
8388,BCAN,0.0012539708986878395,False,0.386047274170793,CD4 T cells
8389,TMEM51,0.001253835391253233,False,0.3859768317926583,CD4 T cells
8390,E2F3,0.0012510567903518677,False,0.3859063894145236,CD4 T cells
8391,DDAH1,0.0012483554892241955,False,0.3858359470363889,CD4 T cells
8392,ZNF385C,0.0012463927268981934,False,0.3857655046582542,CD4 T cells
8393,SPHKAP,0.001242881640791893,False,0.3856950622801195,CD4 T cells
8394,GALNT16,0.0012419625418260694,False,0.3856246199019848,CD4 T cells
8395,SLC25A5-AS1,0.0012385845184326172,False,0.38555417752385013,CD4 T cells
8396,PLA1A,0.0012346887961030006,False,0.38548373514571543,CD4 T cells
8397,MIA,0.001234453171491623,False,0.38541329276758074,CD4 T cells
8398,ATP2B3,0.001234009861946106,False,0.38534285038944605,CD4 T cells
8399,TNFSF15,0.0012339353561401367,False,0.38527240801131135,CD4 T cells
8400,KCNB1,0.0012328652665019035,False,0.38520196563317666,CD4 T cells
8401,HCG17,0.0012303488329052925,False,0.38513152325504196,CD4 T cells
8402,ANGPT1,0.0012302687391638756,False,0.38506108087690727,CD4 T cells
8403,SH3BGR,0.001227785600349307,False,0.3849906384987726,CD4 T cells
8404,ITGA10,0.001224001869559288,False,0.3849201961206379,CD4 T cells
8405,EIF3A,0.0012174248695373535,False,0.3848497537425032,CD4 T cells
8406,TCL1A,0.0012159310281276703,False,0.3847793113643685,CD4 T cells
8407,RAD1,0.0012143254280090332,False,0.3847088689862338,CD4 T cells
8408,TMEM209,0.0012143254280090332,False,0.3846384266080991,CD4 T cells
8409,BIRC7,0.001211022026836872,False,0.3845679842299644,CD4 T cells
8410,FAM110D,0.0012050220975652337,False,0.3844975418518297,CD4 T cells
8411,CCDC13,0.0012009157799184322,False,0.384427099473695,CD4 T cells
8412,P2RY14,0.0011976435780525208,False,0.38435665709556033,CD4 T cells
8413,C19orf33,0.0011961930431425571,False,0.38428621471742563,CD4 T cells
8414,FMN2,0.001195157878100872,False,0.38421577233929094,CD4 T cells
8415,ZKSCAN2,0.0011939238756895065,False,0.38414532996115625,CD4 T cells
8416,GOLGA4,0.0011901259422302246,False,0.38407488758302155,CD4 T cells
8417,DYNC1I2,0.0011883080005645752,True,0.3841217800246082,CD4 T cells
8418,TMEM200C,0.0011864632833749056,False,0.3840513376464735,CD4 T cells
